date,ticker,bucket,action,composite,l1,l2,l3,l4,l5,confluence_n,near_miss,gate_fail_reason,signal_close,fwd_5d,fwd_10d,fwd_20d
2026-06-16,3363,inventory,TRIM,-39.4,-1.0,-0.25,0.0,0.279,,1,0,,707.0,-5.23,-24.05,
2026-06-16,2330,watchlist,NO-GO,34.0,0.433,0.35,0.0,0.279,,1,1,L2,2310.0,3.46,8.44,
2026-06-16,2454,watchlist,NO-GO,34.0,0.433,0.35,0.0,0.279,,1,1,L2,4180.0,2.51,3.71,
2026-06-16,3131,watchlist,NO-GO,30.8,0.0,0.7,0.0,0.279,,1,1,L1,3215.0,11.82,14.77,
2026-06-16,00830,watchlist,NO-GO,41.5,0.183,0.8,0.0,0.279,,1,1,L1,92.85,4.15,7.54,
2026-06-18,3131,inventory,ADD,59.7,1.0,0.8,0.0,0.076,,2,0,,3520.0,-5.97,,
2026-06-18,3163,inventory,TRIM,-27.6,-0.6,-0.25,0.0,0.076,,1,0,,893.0,-19.37,,
2026-06-18,0050,watchlist,GO,50.2,0.6,0.7,0.0,0.076,,2,0,,106.0,-2.74,,
2026-06-18,3653,watchlist,NO-GO,42.7,0.752,0.35,0.0,0.076,,1,1,L2,3990.0,-14.66,,
2026-06-18,5274,watchlist,GO,43.1,0.412,0.7,0.0,0.076,,2,0,,18960.0,-17.64,,
2026-06-18,3037,watchlist,NO-GO,32.4,0.579,0.25,0.0,0.076,,1,1,L2,988.0,-1.32,,
2026-06-19,3131,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3163,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3363,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3711,inventory,HOLD,35.3,0.0,0.8,0.0,1.0,,2,1,L1,613.0,3.1,,
2026-06-19,7810,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,2330,watchlist,NO-GO,42.5,0.0,0.7,0.0,1.0,,2,1,L1,2410.0,-2.9,,
2026-06-19,0050,watchlist,NO-GO,42.5,0.0,0.7,0.0,1.0,,2,1,L1,107.3,-3.91,,
2026-06-19,6239,watchlist,NO-GO,37.5,-0.133,0.7,0.0,1.0,,2,1,L1,363.5,-13.62,,
2026-06-19,3324,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3653,watchlist,NO-GO,30.5,0.033,0.35,0.0,1.0,,1,1,L1+L2,3965.0,-14.12,,
2026-06-19,6223,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,5274,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,00830,watchlist,NO-GO,42.5,0.0,0.7,0.0,1.0,,2,1,L1,97.0,-1.34,,
2026-06-19,8027,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3131,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3163,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3363,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3711,inventory,HOLD,35.9,0.1,0.7,0.0,1.0,,2,1,L1,613.0,10.93,,
2026-06-23,7810,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,2330,watchlist,NO-GO,33.1,0.1,0.35,0.0,1.0,,1,1,L1+L2,2410.0,0.0,,
2026-06-23,0050,watchlist,NO-GO,46.2,0.1,0.7,0.0,1.0,,2,1,L1,107.3,0.47,,
2026-06-23,6239,watchlist,NO-GO,37.5,-0.133,0.7,0.0,1.0,,2,1,L1,363.5,-7.15,,
2026-06-23,3324,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,6223,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,2454,watchlist,NO-GO,33.1,0.1,0.35,0.0,1.0,,1,1,L1+L2,4390.0,-3.3,,
2026-06-23,5274,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,00830,watchlist,NO-GO,33.1,0.1,0.35,0.0,1.0,,1,1,L1+L2,97.0,0.82,,
2026-06-23,8027,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,2359,watchlist,NO-GO,36.6,0.1,0.8,0.0,0.17,,1,1,L1,136.5,-4.4,,
2026-06-24,3163,inventory,SELL,-55.9,-0.75,-0.6,0.0,-1.0,,3,0,,840.0,-10.71,,
2026-06-24,3363,inventory,TRIM,-36.3,-0.194,-0.6,0.0,-1.0,,2,0,,670.0,-19.85,,
2026-06-25,3163,inventory,TRIM,-25.3,,-0.6,0.0,0.11,,1,0,,800.0,,,
2026-06-25,3363,inventory,TRIM,-25.3,,-0.6,0.0,0.11,,1,0,,629.0,,,
2026-06-25,6223,watchlist,NO-GO,45.1,,0.7,0.0,0.11,,1,1,L1,6905.0,,,
2026-06-26,3163,inventory,TRIM,-22.3,-0.1,-0.7,0.0,0.155,,1,0,,720.0,,,
2026-06-26,3363,inventory,SELL,-32.9,-0.4,-0.7,0.0,0.155,,2,0,,575.0,,,
2026-06-26,6239,inventory,TRIM,-33.8,-0.8,-0.25,0.0,0.155,,1,0,,326.0,,,
2026-06-26,3037,watchlist,NO-GO,38.1,0.147,0.8,0.0,0.155,,1,1,L1,1020.0,,,
2026-06-29,3131,inventory,HOLD,33.9,0.6,0.6,0.0,-0.418,,2,1,,3560.0,,,
2026-06-29,3163,inventory,SELL,-36.7,-0.4,-0.6,0.0,-0.418,,3,0,,720.0,,,
2026-06-29,3363,inventory,TRIM,-38.4,-0.364,-0.7,0.0,-0.418,,2,0,,567.0,,,
2026-06-29,7810,inventory,TRIM,-24.8,-0.357,,0.0,-0.418,,1,0,,197.0,,,
2026-06-29,6239,inventory,TRIM,-23.4,-0.4,-0.15,0.0,-0.418,,2,0,,314.0,,,
2026-06-30,5274,watchlist,NO-GO,38.8,0.949,-0.25,0.0,0.777,,2,1,L2,16495.0,,,
2026-06-30,3037,watchlist,NO-GO,40.8,0.4,0.35,0.0,0.777,,2,1,L2,976.0,,,
2026-06-30,3131,inventory,ADD,43.8,0.4,0.7,0.0,0.777,,3,0,,3630.0,,,
2026-06-30,7810,inventory,HOLD,32.4,0.388,,0.0,0.777,,1,1,L1+L2,207.5,,,
2026-07-01,3163,inventory,SELL,-43.8,-1.0,-0.6,0.0,0.775,,2,0,,750.0,,,
2026-07-01,2330,watchlist,NO-GO,45.1,0.267,0.6,0.0,0.775,,2,1,L1,2410.0,,,
2026-07-01,0050,watchlist,NO-GO,38.8,0.1,0.6,0.0,0.775,,2,1,L1,107.8,,,
2026-07-01,3017,watchlist,NO-GO,50.3,0.655,0.35,0.0,0.775,,2,1,L2,2525.0,,,
2026-07-01,6223,watchlist,NO-GO,38.8,0.0,0.7,0.0,0.775,,2,1,L1,6695.0,,,
2026-07-01,3037,watchlist,NO-GO,49.3,0.277,0.7,0.0,0.775,,2,1,L1,1070.0,,,
